order_id;return_id;order_date;return_date;return_delay_days;product_name;category;quantity;unit_price;return_amount;return_reason;return_status;sales_channel;carrier;region;city
CMD-10012;RET-20012;2025-02-09;2025-02-26;24;Montre connectée;Électronique;2;271.32;542.64;Ne correspond pas à la description;Remboursé;Site web;DHL;Provence-Alpes-Côte d'Azur;Marseille
CMD-10013;RET-20013;2024-11-09;2024-12-04;25;Chaussures;Vêtements;1;305.98;305.98;Mauvaise taille / couleur;Remboursé;Site web;Chronopost;Hauts-de-France;Valenciennes
CMD-10014;RET-20014;2024-11-29;2024-12-24;25;Crème hydratante;Beauté & Santé;3;120.21;360.63;Livraison endommagée;En cours de traitement;Marketplace;DHL;Île-de-France;Paris
CMD-10015;RET-20015;2024-06-28;2024-06-30;2;Chaussures;Vêtements;1;39.12;39.12;Délai de livraison trop long;Remboursé;Site web;UPS;Bretagne;Rennes
CMD-10016;RET-20016;2024-12-04;2024-12-10;6;Cadre photo;Maison & Jardin;3;153.87;461.61;Commande en double;Échangé;Marketplace;UPS;Occitanie;Nîmes
CMD-10017;RET-20017;2025-02-04;2025-02-25;21;Plante artificielle;Maison & Jardin;3;163.51;490.53;Produit défectueux;Remboursé;Application mobile;Mondial Relay;Occitanie;Toulouse
CMD-10018;RET-20018;2024-06-18;2024-06-19;1;Smartphone;Électronique;1;32.92;32.92;Produit défectueux;Remboursé;Application mobile;Chronopost;Île-de-France;Boulogne-Billancourt
CMD-10019;RET-20019;2024-11-29;2024-12-04;5;Complément alimentaire;Beauté & Santé;2;92.62;185.24;Produit défectueux;Remboursé;Site web;UPS;Bretagne;Brest
CMD-10020;RET-20020;2024-09-24;2024-10-09;15;Smartphone;Électronique;1;146.89;146.89;Ne correspond pas à la description;Remboursé;Site web;UPS;Provence-Alpes-Côte d'Azur;Marseille
CMD-10021;RET-20021;2024-05-30;2024-06-08;9;Gourde;Sport & Loisirs;1;160.66;160.66;Produit défectueux;Refusé;Marketplace;Colissimo;Pays de la Loire;Nantes
CMD-10022;RET-20022;2024-06-27;2024-07-03;6;Sac de sport;Sport & Loisirs;2;82.67;165.34;Produit défectueux;Remboursé;Site web;UPS;Grand Est;Strasbourg
CMD-10023;RET-20023;2024-07-22;2024-08-05;14;Parfum;Beauté & Santé;1;74.57;74.57;Mauvaise taille / couleur;Remboursé;Marketplace;Colissimo;Occitanie;Toulouse
CMD-10024;RET-20024;2024-03-23;2024-04-11;19;Casque vélo;Sport & Loisirs;3;63.53;190.59;Livraison endommagée;Remboursé;Site web;Chronopost;Pays de la Loire;Nantes
CMD-10025;RET-20025;2024-09-20;2024-09-24;4;Sérum visage;Beauté & Santé;3;212.14;636.42;Mauvaise taille / couleur;Échangé;Application mobile;DHL;Normandie;Rouen
CMD-10026;RET-20026;2024-06-10;2024-07-02;22;Coussin;Maison & Jardin;2;144.57;289.14;Ne correspond pas à la description;En cours de traitement;Site web;UPS;Hauts-de-France;Amiens
CMD-10027;RET-20027;2025-01-10;2025-01-29;19;Smartphone;Électronique;3;82.47;247.41;Livraison endommagée;En cours de traitement;Marketplace;DHL;Hauts-de-France;Lille
CMD-10028;RET-20028;2024-07-21;2024-07-27;6;Casque vélo;Sport & Loisirs;3;112.86;338.58;Changement d'avis;Échangé;Téléphone;Colissimo;Pays de la Loire;Nantes
CMD-10029;RET-20029;2024-05-05;2024-05-14;9;Smartphone;Électronique;3;198.1;594.3;Changement d'avis;Échangé;Site web;DHL;Hauts-de-France;Amiens
CMD-10030;RET-20030;2024-11-11;2024-11-27;16;Lampe;Maison & Jardin;1;225.66;225.66;Produit défectueux;En cours de traitement;Application mobile;DHL;Hauts-de-France;Lille
CMD-10031;RET-20031;2024-05-19;2024-06-12;24;Casque vélo;Sport & Loisirs;3;155.41;466.23;Produit défectueux;En cours de traitement;Téléphone;Mondial Relay;Île-de-France;Paris
CMD-10032;RET-20032;2024-03-16;2024-04-12;27;Cadre photo;Maison & Jardin;3;60.35;181.05;Ne correspond pas à la description;En cours de traitement;Marketplace;Colissimo;Nouvelle-Aquitaine;Bordeaux
CMD-10033;RET-20033;2024-08-28;2024-09-04;7;T-shirt;Vêtements;2;275.24;550.48;Changement d'avis;En cours de traitement;Site web;Chronopost;Grand Est;Metz
CMD-10034;RET-20034;2024-05-27;2024-06-25;29;Tapis de yoga;Sport & Loisirs;1;260.43;260.43;Commande en double;En cours de traitement;Marketplace;DHL;Provence-Alpes-Côte d'Azur;Nice
CMD-10035;RET-20035;2024-05-18;2024-06-13;26;Chargeur;Électronique;1;301.92;301.92;Commande en double;Remboursé;Site web;Chronopost;Occitanie;Toulouse
CMD-10036;RET-20036;2024-06-20;2024-06-21;1;Robe;Vêtements;2;104.73;209.46;Ne correspond pas à la description;Remboursé;Application mobile;Mondial Relay;Auvergne-Rhône-Alpes;Grenoble
CMD-10037;RET-20037;2024-08-14;2024-08-15;1;Écouteurs;Électronique;1;207.4;207.4;Produit défectueux;Remboursé;Marketplace;DHL;Hauts-de-France;Lille
CMD-10038;RET-20038;2024-10-07;2024-10-27;20;Crème hydratante;Beauté & Santé;2;315.83;631.66;Produit défectueux;Remboursé;Application mobile;Mondial Relay;Occitanie;Montpellier
CMD-10039;RET-20039;2025-02-12;2025-02-26;24;Veste;Vêtements;2;33.79;67.58;Ne correspond pas à la description;En cours de traitement;Marketplace;DHL;Provence-Alpes-Côte d'Azur;Toulon
CMD-10040;RET-20040;2024-11-12;2024-11-22;10;Résistance élastique;Sport & Loisirs;2;247.05;494.1;Produit défectueux;Échangé;Site web;Chronopost;Pays de la Loire;Nantes
CMD-10041;RET-20041;2025-01-07;2025-01-26;19;Plante artificielle;Maison & Jardin;3;293.47;880.41;Ne correspond pas à la description;En cours de traitement;Application mobile;DHL;Hauts-de-France;Amiens
CMD-10042;RET-20042;2024-10-22;2024-11-06;15;Gourde;Sport & Loisirs;3;170.88;512.64;Produit défectueux;Remboursé;Application mobile;DHL;Nouvelle-Aquitaine;Limoges
CMD-10043;RET-20043;2024-04-14;2024-05-11;27;Veste;Vêtements;1;284.23;284.23;Produit défectueux;Refusé;Application mobile;Colissimo;Nouvelle-Aquitaine;Bordeaux
CMD-10044;RET-20044;2024-10-17;2024-10-31;14;Sérum visage;Beauté & Santé;3;246.76;740.28;Ne correspond pas à la description;Échangé;Site web;Colissimo;Bretagne;Brest
CMD-10045;RET-20045;2024-10-01;2024-10-09;8;Chaussures;Vêtements;2;27.07;54.14;Mauvaise taille / couleur;En cours de traitement;Application mobile;Mondial Relay;Occitanie;Toulouse
CMD-10046;RET-20046;2024-12-27;2025-01-07;11;Casque vélo;Sport & Loisirs;3;313.29;939.87;Mauvaise taille / couleur;Remboursé;Marketplace;UPS;Grand Est;Metz
CMD-10047;RET-20047;2024-07-08;2024-08-02;25;Veste;Vêtements;3;174.76;524.28;Mauvaise taille / couleur;Échangé;Site web;DHL;Occitanie;Montpellier
CMD-10048;RET-20048;2024-08-08;2024-09-06;29;Crème hydratante;Beauté & Santé;1;61.28;61.28;Produit défectueux;Remboursé;Site web;DHL;Grand Est;Metz
CMD-10049;RET-20049;2024-11-30;2024-12-15;15;Tapis de yoga;Sport & Loisirs;1;293.18;293.18;Livraison endommagée;Remboursé;Marketplace;Mondial Relay;Grand Est;Metz
CMD-10050;RET-20050;2024-09-08;2024-09-24;16;Écouteurs;Électronique;2;266.18;532.36;Changement d'avis;Remboursé;Application mobile;Chronopost;Grand Est;Metz
CMD-10051;RET-20051;2024-11-02;2024-11-10;8;Plante artificielle;Maison & Jardin;2;19.87;39.74;Changement d'avis;Remboursé;Site web;UPS;Provence-Alpes-Côte d'Azur;Toulon
CMD-10052;RET-20052;2024-05-02;2024-05-22;20;Crème hydratante;Beauté & Santé;2;211.24;422.48;Changement d'avis;Remboursé;Application mobile;Colissimo;Île-de-France;Paris
CMD-10053;RET-20053;2024-07-09;2024-07-22;13;Coussin;Maison & Jardin;2;121.13;242.26;Commande en double;En cours de traitement;Site web;Colissimo;Grand Est;Reims
CMD-10054;RET-20054;2024-10-24;2024-10-25;1;Crème hydratante;Beauté & Santé;2;86.24;172.48;Produit défectueux;Remboursé;Site web;Colissimo;Auvergne-Rhône-Alpes;Clermont-Ferrand
CMD-10055;RET-20055;2025-01-10;2025-01-15;5;Pantalon;Vêtements;2;237.62;475.24;Mauvaise taille / couleur;Remboursé;Site web;Mondial Relay;Normandie;Rouen
CMD-10056;RET-20056;2025-01-02;2025-01-26;24;Tablette;Électronique;2;46.75;93.5;Mauvaise taille / couleur;En cours de traitement;Site web;Chronopost;Île-de-France;Boulogne-Billancourt
CMD-10057;RET-20057;2024-04-05;2024-04-24;19;T-shirt;Vêtements;3;272.64;817.92;Commande en double;Échangé;Site web;Mondial Relay;Normandie;Rouen
CMD-10058;RET-20058;2024-10-03;2024-10-25;22;Lampe;Maison & Jardin;3;230.16;690.48;Commande en double;Remboursé;Téléphone;UPS;Île-de-France;Boulogne-Billancourt
CMD-10059;RET-20059;2025-02-23;2025-02-26;5;Gourde;Sport & Loisirs;3;187.39;562.17;Commande en double;Remboursé;Application mobile;UPS;Hauts-de-France;Valenciennes
CMD-10060;RET-20060;2024-12-26;2025-01-04;9;Coussin;Maison & Jardin;1;104.84;104.84;Commande en double;Échangé;Application mobile;DHL;Bretagne;Rennes
CMD-10061;RET-20061;2024-03-12;2024-03-28;16;Coussin;Maison & Jardin;2;82.12;164.24;Ne correspond pas à la description;Échangé;Marketplace;Mondial Relay;Hauts-de-France;Amiens
CMD-10062;RET-20062;2024-03-03;2024-03-20;17;T-shirt;Vêtements;1;254.83;254.83;Commande en double;Échangé;Application mobile;UPS;Bretagne;Quimper
CMD-10063;RET-20063;2024-10-13;2024-11-08;26;Smartphone;Électronique;2;85.34;170.68;Changement d'avis;Remboursé;Application mobile;DHL;Occitanie;Montpellier
CMD-10064;RET-20064;2024-10-01;2024-10-25;24;Brosse à dents électrique;Beauté & Santé;2;248.97;497.94;Ne correspond pas à la description;Remboursé;Site web;Colissimo;Hauts-de-France;Amiens
CMD-10065;RET-20065;2024-11-27;2024-12-22;25;Pantalon;Vêtements;1;261.13;261.13;Mauvaise taille / couleur;En cours de traitement;Application mobile;Colissimo;Hauts-de-France;Valenciennes
CMD-10066;RET-20066;2024-06-05;2024-06-15;10;Veste;Vêtements;1;112.77;112.77;Ne correspond pas à la description;Refusé;Application mobile;Chronopost;Pays de la Loire;Nantes
CMD-10067;RET-20067;2025-01-18;2025-02-15;28;Tapis de yoga;Sport & Loisirs;1;205.18;205.18;Mauvaise taille / couleur;Remboursé;Site web;UPS;Bretagne;Brest
CMD-10068;RET-20068;2024-04-25;2024-05-22;27;Chargeur;Électronique;2;35.19;70.38;Produit défectueux;Échangé;Site web;Chronopost;Île-de-France;Paris
CMD-10069;RET-20069;2024-04-27;2024-05-15;18;Casque vélo;Sport & Loisirs;3;278.85;836.55;Mauvaise taille / couleur;En cours de traitement;Site web;Mondial Relay;Occitanie;Nîmes
CMD-10070;RET-20070;2024-10-03;2024-10-13;10;Complément alimentaire;Beauté & Santé;1;217.27;217.27;Changement d'avis;Remboursé;Site web;Chronopost;Auvergne-Rhône-Alpes;Lyon
CMD-10071;RET-20071;2024-05-25;2024-06-12;18;Tablette;Électronique;1;148.9;148.9;Ne correspond pas à la description;Remboursé;Marketplace;UPS;Normandie;Caen
CMD-10072;RET-20072;2024-04-03;2024-04-25;22;Veste;Vêtements;3;210.53;631.59;Produit défectueux;Remboursé;Site web;DHL;Occitanie;Montpellier
CMD-10073;RET-20073;2024-05-09;2024-05-12;3;Tablette;Électronique;2;212.31;424.62;Mauvaise taille / couleur;Remboursé;Site web;UPS;Normandie;Caen
CMD-10074;RET-20074;2024-07-15;2024-08-01;17;Parfum;Beauté & Santé;2;37.35;74.7;Changement d'avis;Échangé;Site web;Chronopost;Île-de-France;Boulogne-Billancourt
CMD-10075;RET-20075;2025-02-06;2025-02-26;27;Complément alimentaire;Beauté & Santé;1;349.85;349.85;Produit défectueux;En cours de traitement;Application mobile;UPS;Hauts-de-France;Valenciennes
CMD-10076;RET-20076;2024-07-18;2024-07-24;6;Parfum;Beauté & Santé;3;286.84;860.52;Ne correspond pas à la description;Remboursé;Application mobile;Chronopost;Auvergne-Rhône-Alpes;Grenoble
CMD-10077;RET-20077;2024-08-13;2024-08-27;14;Résistance élastique;Sport & Loisirs;3;331.37;994.11;Mauvaise taille / couleur;Remboursé;Site web;UPS;Pays de la Loire;Nantes
CMD-10078;RET-20078;2024-11-16;2024-12-13;27;Montre connectée;Électronique;2;150.5;301.0;Ne correspond pas à la description;En cours de traitement;Application mobile;Colissimo;Occitanie;Nîmes
CMD-10079;RET-20079;2024-06-10;2024-06-19;9;Sérum visage;Beauté & Santé;2;158.96;317.92;Produit défectueux;Échangé;Marketplace;Chronopost;Bretagne;Rennes
CMD-10080;RET-20080;2024-08-04;2024-08-22;18;Montre connectée;Électronique;2;41.69;83.38;Livraison endommagée;Échangé;Site web;DHL;Auvergne-Rhône-Alpes;Grenoble
CMD-10081;RET-20081;2024-11-13;2024-12-06;23;Plante artificielle;Maison & Jardin;2;343.28;686.56;Mauvaise taille / couleur;Remboursé;Téléphone;Mondial Relay;Occitanie;Montpellier
CMD-10082;RET-20082;2024-05-06;2024-06-03;28;Écouteurs;Électronique;2;125.56;251.12;Commande en double;Remboursé;Site web;Mondial Relay;Pays de la Loire;Angers
CMD-10083;RET-20083;2024-12-19;2025-01-10;22;Gourde;Sport & Loisirs;2;193.12;386.24;Mauvaise taille / couleur;Remboursé;Application mobile;DHL;Provence-Alpes-Côte d'Azur;Nice
CMD-10084;RET-20084;2024-06-02;2024-06-25;23;Chaussures;Vêtements;2;89.41;178.82;Ne correspond pas à la description;Remboursé;Téléphone;UPS;Grand Est;Strasbourg
CMD-10085;RET-20085;2024-09-11;2024-10-03;22;Robe;Vêtements;1;52.92;52.92;Livraison endommagée;En cours de traitement;Site web;Mondial Relay;Normandie;Caen
CMD-10086;RET-20086;2024-10-17;2024-10-18;1;Robe;Vêtements;3;339.79;1019.37;Commande en double;Remboursé;Application mobile;UPS;Auvergne-Rhône-Alpes;Grenoble
CMD-10087;RET-20087;2025-01-24;2025-01-27;3;Cadre photo;Maison & Jardin;2;334.41;668.82;Produit défectueux;Remboursé;Application mobile;DHL;Bretagne;Quimper
CMD-10088;RET-20088;2024-06-22;2024-07-16;24;Chargeur;Électronique;1;268.53;268.53;Produit défectueux;Remboursé;Site web;DHL;Auvergne-Rhône-Alpes;Grenoble
CMD-10089;RET-20089;2024-03-26;2024-04-05;10;Tapis;Maison & Jardin;2;59.49;118.98;Mauvaise taille / couleur;En cours de traitement;Site web;Colissimo;Pays de la Loire;Angers
CMD-10090;RET-20090;2025-01-04;2025-02-01;28;Casque vélo;Sport & Loisirs;3;91.88;275.64;Ne correspond pas à la description;Échangé;Application mobile;Colissimo;Normandie;Rouen
CMD-10091;RET-20091;2024-10-22;2024-11-20;29;Cadre photo;Maison & Jardin;1;35.11;35.11;Ne correspond pas à la description;Refusé;Application mobile;UPS;Provence-Alpes-Côte d'Azur;Toulon
CMD-10092;RET-20092;2024-07-30;2024-08-06;7;Sac de sport;Sport & Loisirs;1;90.65;90.65;Mauvaise taille / couleur;Refusé;Site web;UPS;Normandie;Caen
CMD-10093;RET-20093;2024-07-16;2024-07-17;1;Crème hydratante;Beauté & Santé;3;263.36;790.08;Changement d'avis;Remboursé;Application mobile;Mondial Relay;Hauts-de-France;Lille
CMD-10094;RET-20094;2024-07-04;2024-07-26;22;T-shirt;Vêtements;3;229.76;689.28;Produit défectueux;Remboursé;Site web;DHL;Hauts-de-France;Amiens
CMD-10095;RET-20095;2024-08-12;2024-09-05;24;Gourde;Sport & Loisirs;1;54.93;54.93;Mauvaise taille / couleur;En cours de traitement;Marketplace;DHL;Pays de la Loire;Angers
CMD-10096;RET-20096;2024-10-30;2024-11-25;26;Tapis;Maison & Jardin;1;169.23;169.23;Commande en double;Remboursé;Application mobile;UPS;Auvergne-Rhône-Alpes;Lyon
CMD-10097;RET-20097;2024-12-08;2024-12-20;12;Chargeur;Électronique;1;99.92;99.92;Ne correspond pas à la description;Échangé;Site web;UPS;Auvergne-Rhône-Alpes;Grenoble
CMD-10098;RET-20098;2025-01-18;2025-01-30;12;Tablette;Électronique;2;18.51;37.02;Livraison endommagée;Remboursé;Site web;UPS;Pays de la Loire;Angers
CMD-10099;RET-20099;2025-02-19;2025-02-26;10;Tapis de yoga;Sport & Loisirs;1;25.42;25.42;Délai de livraison trop long;Remboursé;Site web;Mondial Relay;Île-de-France;Boulogne-Billancourt
CMD-10100;RET-20100;2024-05-06;2024-05-19;13;Résistance élastique;Sport & Loisirs;3;332.79;998.37;Mauvaise taille / couleur;Échangé;Marketplace;Colissimo;Pays de la Loire;Angers
CMD-10101;RET-20101;2024-11-03;2024-11-23;20;Résistance élastique;Sport & Loisirs;1;244.7;244.7;Mauvaise taille / couleur;Remboursé;Site web;DHL;Occitanie;Montpellier
CMD-10102;RET-20102;2024-12-01;2024-12-30;29;Lampe;Maison & Jardin;2;103.8;207.6;Produit défectueux;Remboursé;Application mobile;Colissimo;Auvergne-Rhône-Alpes;Grenoble
CMD-10103;RET-20103;2024-03-23;2024-04-18;26;Coussin;Maison & Jardin;1;277.57;277.57;Commande en double;Échangé;Application mobile;Chronopost;Occitanie;Toulouse
CMD-10104;RET-20104;2024-08-13;2024-09-07;25;Chaussures;Vêtements;1;104.27;104.27;Mauvaise taille / couleur;En cours de traitement;Site web;Colissimo;Nouvelle-Aquitaine;Bordeaux
CMD-10105;RET-20105;2024-05-04;2024-05-05;1;Coussin;Maison & Jardin;3;120.08;360.24;Produit défectueux;Échangé;Application mobile;Colissimo;Nouvelle-Aquitaine;Pau
CMD-10106;RET-20106;2024-10-27;2024-11-11;15;Cadre photo;Maison & Jardin;3;47.08;141.24;Livraison endommagée;Remboursé;Marketplace;Mondial Relay;Pays de la Loire;Nantes
CMD-10107;RET-20107;2024-07-30;2024-08-14;15;Smartphone;Électronique;2;298.08;596.16;Produit défectueux;Échangé;Site web;Colissimo;Grand Est;Metz
CMD-10108;RET-20108;2024-08-09;2024-08-29;20;T-shirt;Vêtements;1;103.51;103.51;Changement d'avis;Remboursé;Application mobile;DHL;Normandie;Le Havre
CMD-10109;RET-20109;2024-10-16;2024-11-02;17;Parfum;Beauté & Santé;1;279.65;279.65;Changement d'avis;En cours de traitement;Marketplace;Chronopost;Auvergne-Rhône-Alpes;Clermont-Ferrand
CMD-10110;RET-20110;2024-10-04;2024-10-19;15;Robe;Vêtements;2;291.32;582.64;Changement d'avis;Remboursé;Site web;DHL;Grand Est;Reims
CMD-10111;RET-20111;2024-09-05;2024-09-10;5;Tapis de yoga;Sport & Loisirs;1;292.8;292.8;Produit défectueux;Échangé;Marketplace;Mondial Relay;Auvergne-Rhône-Alpes;Grenoble
CMD-10112;RET-20112;2024-03-28;2024-04-16;19;Complément alimentaire;Beauté & Santé;2;237.8;475.6;Livraison endommagée;Refusé;Site web;Colissimo;Grand Est;Reims
CMD-10113;RET-20113;2024-07-23;2024-08-12;20;Tapis;Maison & Jardin;1;206.49;206.49;Changement d'avis;Remboursé;Site web;Mondial Relay;Occitanie;Toulouse
CMD-10114;RET-20114;2024-09-02;2024-09-06;4;Cadre photo;Maison & Jardin;1;284.46;284.46;Changement d'avis;Échangé;Site web;DHL;Pays de la Loire;Le Mans
CMD-10115;RET-20115;2024-03-12;2024-03-18;6;Tapis;Maison & Jardin;2;129.35;258.7;Mauvaise taille / couleur;Remboursé;Site web;Colissimo;Nouvelle-Aquitaine;Bordeaux
CMD-10116;RET-20116;2024-04-13;2024-05-07;24;Sérum visage;Beauté & Santé;2;152.74;305.48;Ne correspond pas à la description;Échangé;Marketplace;Mondial Relay;Provence-Alpes-Côte d'Azur;Marseille
CMD-10117;RET-20117;2024-12-28;2024-12-31;3;Tablette;Électronique;1;266.51;266.51;Produit défectueux;Remboursé;Site web;Mondial Relay;Île-de-France;Versailles
CMD-10118;RET-20118;2024-10-10;2024-10-24;14;Coussin;Maison & Jardin;3;48.7;146.1;Ne correspond pas à la description;Échangé;Application mobile;DHL;Grand Est;Strasbourg
CMD-10119;RET-20119;2024-03-21;2024-03-29;8;Casque vélo;Sport & Loisirs;1;12.61;12.61;Commande en double;En cours de traitement;Site web;Colissimo;Hauts-de-France;Lille
CMD-10120;RET-20120;2024-03-01;2024-03-17;16;Gourde;Sport & Loisirs;1;139.27;139.27;Mauvaise taille / couleur;Échangé;Site web;UPS;Occitanie;Nîmes
CMD-10121;RET-20121;2024-03-19;2024-04-02;14;Chargeur;Électronique;1;303.12;303.12;Mauvaise taille / couleur;Échangé;Site web;Colissimo;Normandie;Caen
CMD-10122;RET-20122;2024-09-21;2024-09-22;1;Coussin;Maison & Jardin;3;166.43;499.29;Mauvaise taille / couleur;Remboursé;Site web;UPS;Provence-Alpes-Côte d'Azur;Marseille
CMD-10123;RET-20123;2024-11-21;2024-11-24;3;Résistance élastique;Sport & Loisirs;3;125.43;376.29;Produit défectueux;Échangé;Application mobile;Chronopost;Provence-Alpes-Côte d'Azur;Marseille
CMD-10124;RET-20124;2024-08-23;2024-09-04;12;Pantalon;Vêtements;1;59.79;59.79;Changement d'avis;En cours de traitement;Application mobile;Chronopost;Occitanie;Toulouse
CMD-10125;RET-20125;2025-01-13;2025-01-29;16;Casque vélo;Sport & Loisirs;3;162.63;487.89;Changement d'avis;Échangé;Marketplace;DHL;Normandie;Le Havre
CMD-10126;RET-20126;2024-05-14;2024-05-29;15;Chargeur;Électronique;2;224.67;449.34;Produit défectueux;Remboursé;Site web;UPS;Hauts-de-France;Valenciennes
CMD-10127;RET-20127;2024-03-17;2024-03-19;2;Tapis;Maison & Jardin;1;229.19;229.19;Mauvaise taille / couleur;Remboursé;Application mobile;Colissimo;Auvergne-Rhône-Alpes;Clermont-Ferrand
CMD-10128;RET-20128;2024-10-14;2024-11-13;30;Sérum visage;Beauté & Santé;2;215.7;431.4;Délai de livraison trop long;Remboursé;Marketplace;DHL;Pays de la Loire;Nantes
CMD-10129;RET-20129;2025-02-26;2025-02-26;3;Sérum visage;Beauté & Santé;1;94.23;94.23;Mauvaise taille / couleur;Échangé;Site web;DHL;Bretagne;Brest
CMD-10130;RET-20130;2024-09-12;2024-09-26;14;Cadre photo;Maison & Jardin;1;278.34;278.34;Ne correspond pas à la description;Échangé;Site web;DHL;Provence-Alpes-Côte d'Azur;Marseille
CMD-10131;RET-20131;2025-01-28;2025-02-26;30;Sérum visage;Beauté & Santé;2;37.71;75.42;Ne correspond pas à la description;Échangé;Application mobile;Chronopost;Nouvelle-Aquitaine;Pau
CMD-10132;RET-20132;2024-12-27;2025-01-19;23;Écouteurs;Électronique;3;138.07;414.21;Changement d'avis;En cours de traitement;Marketplace;Mondial Relay;Provence-Alpes-Côte d'Azur;Marseille
CMD-10133;RET-20133;2024-04-14;2024-05-05;21;Casque vélo;Sport & Loisirs;2;16.2;32.4;Délai de livraison trop long;Remboursé;Marketplace;Chronopost;Hauts-de-France;Lille
CMD-10134;RET-20134;2024-06-21;2024-06-26;5;T-shirt;Vêtements;2;297.11;594.22;Commande en double;En cours de traitement;Marketplace;Colissimo;Auvergne-Rhône-Alpes;Clermont-Ferrand
CMD-10135;RET-20135;2025-01-30;2025-02-10;11;Sérum visage;Beauté & Santé;3;138.08;414.24;Livraison endommagée;En cours de traitement;Marketplace;Chronopost;Nouvelle-Aquitaine;Bordeaux
CMD-10136;RET-20136;2024-10-08;2024-10-10;2;Résistance élastique;Sport & Loisirs;3;254.66;763.98;Ne correspond pas à la description;Échangé;Site web;Mondial Relay;Bretagne;Quimper
CMD-10137;RET-20137;2024-06-28;2024-07-08;10;Gourde;Sport & Loisirs;2;240.62;481.24;Mauvaise taille / couleur;Remboursé;Site web;Mondial Relay;Normandie;Caen
CMD-10138;RET-20138;2024-09-28;2024-10-04;6;Chaussures;Vêtements;1;306.82;306.82;Mauvaise taille / couleur;Remboursé;Téléphone;Mondial Relay;Île-de-France;Versailles
CMD-10139;RET-20139;2024-04-30;2024-05-10;10;Tablette;Électronique;2;162.77;325.54;Livraison endommagée;Remboursé;Téléphone;UPS;Pays de la Loire;Nantes
CMD-10140;RET-20140;2024-08-23;2024-09-22;30;Chargeur;Électronique;1;144.79;144.79;Mauvaise taille / couleur;Remboursé;Site web;DHL;Provence-Alpes-Côte d'Azur;Marseille
CMD-10141;RET-20141;2024-04-17;2024-05-14;27;Coussin;Maison & Jardin;1;23.02;23.02;Livraison endommagée;En cours de traitement;Application mobile;Mondial Relay;Bretagne;Quimper
CMD-10142;RET-20142;2024-02-29;2024-03-29;29;Smartphone;Électronique;2;83.32;166.64;Livraison endommagée;Échangé;Site web;DHL;Nouvelle-Aquitaine;Limoges
CMD-10143;RET-20143;2024-06-27;2024-07-07;10;Smartphone;Électronique;1;152.74;152.74;Produit défectueux;En cours de traitement;Application mobile;Mondial Relay;Normandie;Caen
CMD-10144;RET-20144;2024-03-06;2024-03-27;21;Complément alimentaire;Beauté & Santé;1;254.31;254.31;Produit défectueux;Remboursé;Application mobile;Chronopost;Hauts-de-France;Amiens
CMD-10145;RET-20145;2025-02-01;2025-02-23;22;Montre connectée;Électronique;2;33.01;66.02;Mauvaise taille / couleur;Refusé;Application mobile;UPS;Pays de la Loire;Le Mans
CMD-10146;RET-20146;2024-10-24;2024-10-26;2;Résistance élastique;Sport & Loisirs;2;264.09;528.18;Ne correspond pas à la description;Échangé;Application mobile;Mondial Relay;Provence-Alpes-Côte d'Azur;Marseille
